Id,Label,timeset,pageranks,modularity_class
1604,@christslava,,0.000254,1
1605,@EspeOppenheimer,,0.000263,99
1606,@cconejero,,0.000254,1
1607,@JackWClark,,0.000263,99
1608,@ogr4_,,0.000259,195
1609,@DennJoyce,,0.000232,195
1610,@KungfuKaulana,,0.000323,82
1611,@__KiSi__,,0.000449,119
1612,@fred_frugal,,0.000263,99
1613,@Necyie,,0.00025,90
1614,@slickbobi,,0.000254,1
1615,@jaygatz42,,0.000263,99
1616,@jvlopez,,0.000254,1
1617,@taketooktake_n,,0.000263,119
1618,@sheeples_champ,,0.000263,99
1619,@KMertikas,,0.00037,36
1620,@pankajj_arya,,0.000254,87
1621,@WayCharMar,,0.00025,1
1622,@cleanhands69,,0.000292,61
1623,@stefanieesays,,0.000248,90
1624,@LioudmilaScarp2,,0.000245,69
1625,@pinky_founky,,0.000254,87
1626,@VanDerKim,,0.000253,107
1627,@Charger0843Rion,,0.000263,99
1628,@paujosfer,,0.000284,81
1629,@AirKanada,,0.000252,60
1630,@katamt5,,0.000263,60
1631,@Shahbazuma,,0.000254,87
1632,@99bengardner,,0.000267,0
1633,@emilyypagano,,0.000292,61
1634,@Karen62173478,,0.000259,87
1635,@IDEFFIE_NGO,,0.000247,69
1636,@KAMohamed225,,0.000254,87
1637,@jgkoomey,,0.000252,60
1638,@lorelei325,,0.000263,99
1639,@Jessicacgn,,0.00025,90
1640,@NoExpectation77,,0.000253,107
1641,@WalfordWilfred,,0.00025,1
1642,@ReneeB_75,,0.000263,99
1643,@Dance4Jonas,,0.000263,99
1644,@paulxmccarthy,,0.000267,0
1645,@chujorog,,0.000263,119
1646,@IvanMarakov,,0.000238,107
1647,@Luzern888,,0.000245,69
1648,@JoeSondow,,0.000306,195
1649,@rahsabi,,0.000263,119
1650,@saadsoso8,,0.000245,69
1651,@jgodson88,,0.000274,73
1652,@KalineCountry,,0.000263,99
1653,@TreyKiatomi,,0.000238,107
1654,@somadabout,,0.000248,90
1655,@pelangi_oren,,0.000245,69
1656,@Giri_Cog,,0.000267,0
1657,@EstherLamarr,,0.00025,90
1658,@NormaWa82774361,,0.00025,1
1659,@Bluetickmouse,,0.00025,90
1660,@_kaigai_1031,,0.000292,61
1661,@shazadgoldsmith,,0.000248,90
1662,@M5B1tch,,0.000263,99
1663,@DanFromTopChef,,0.000252,60
1664,@SHANENAPIER8483,,0.000244,36
1665,@GrondaMorin,,0.000248,90
1666,@rihanehakbari,,0.000238,107
1667,@SassyGash,,0.000248,90
1668,@SmithSciFi1,,0.00025,1
1669,@GSandhuSurgEd,,0.000243,178
1670,@360ViewColors44,,0.000259,87
1671,@adarshnair01,,0.000267,0
1672,@NetflixUIE,,0.000374,72
1673,@dgarrick5534,,0.000263,99
1674,@cathydebourgh,,0.000234,195
1675,@smsharper,,0.000254,1
1676,@Saintsfan5348,,0.000263,99
1677,@KatriBertram,,0.000245,69
1678,@linluv5,,0.000323,82
1679,@Ova_chan,,0.000263,119
1680,@svbizjournal,,0.000254,87
1681,@InaniT0,,0.000274,73
1682,@Martint29902747,,0.00025,90
1683,@RatnaChaturvedi,,0.000263,119
1684,@hahnsmith,,0.000284,81
1685,@Lastmedic,,0.000248,90
1686,@sdsn_TReNDS,,0.000253,107
1687,@KornelijaBerger,,0.000271,40
1688,@chasistydolley,,0.000263,99
1689,@ElyanEyad,,0.000267,0
1690,@AliciaFengler,,0.000245,69
1691,@Fuusio,,0.000254,1
